danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.535,0.797,-7.533,0.0459,0.48,3.42e-05,0.141,0.613,148.835,da doo ron ron (when he walked me home),the crystals,0
0.604,0.412,-13.994,0.0306,0.784,1.38e-06,0.18,0.689,128.71,18 yellow roses,bobby darin,0
0.457,0.602,-7.771,0.0346,0.49,0.0,0.499,0.904,89.271,one fine day,the chiffons,0
0.322,0.718,-11.428,0.0938,0.239,0.0,0.676,0.737,118.735,come go with me,dion,0
0.418,0.153,-14.484,0.0293,0.879,4.23e-06,0.156,0.267,80.748,blue velvet,bobby vinton,0
0.431,0.678,-7.945,0.0365,0.7,6.37e-06,0.199,0.633,135.919,then he kissed me,the crystals,0
0.663,0.564,-10.568,0.0338,0.225,0.00129,0.235,0.978,133.866,little deuce coupe,the beach boys,0
0.516,0.327,-9.382,0.0292,0.604,8.75e-05,0.183,0.546,69.482,make the world go away,ray price,0
0.378,0.268,-11.46,0.0281,0.866,0.0123,0.175,0.409,68.809,make the world go away,ray price,0
0.485,0.511,-10.818,0.0318,0.597,0.0,0.169,0.531,129.251,wives and lovers,jack jones,0
0.623,0.709,-9.818,0.0636,0.102,0.0,0.0967,0.948,122.394,louie louie,the kingsmen,0
0.587,0.968,-9.393,0.0527,0.000869,0.000606,0.329,0.845,99.231,surfin' bird,the trashmen,0
0.287,0.753,-7.587,0.0387,0.0652,0.0,0.288,0.882,130.637,i want to hold your hand,the beatles,0
0.602,0.684,-8.021,0.029,0.103,0.0,0.175,0.961,133.0,i only want to be with you,dusty springfield,0
0.548,0.827,-6.197,0.0336,0.147,0.0,0.147,0.777,130.043,a world without love,peter and gordon,0
0.596,0.791,-8.88,0.0446,0.425,0.000295,0.0886,0.98,129.237,no particular place to go,chuck berry,0
0.511,0.44,-9.11,0.0308,0.742,1.05e-05,0.328,0.611,103.965,(you don't know) how glad i am,nancy wilson,0
0.366,0.391,-12.322,0.0425,0.854,0.0,0.352,0.461,119.182,everybody loves somebody,dean martin,0
0.747,0.226,-13.635,0.0414,0.908,0.000168,0.107,0.778,123.792,under the boardwalk,the drifters,0
0.389,0.29,-11.868,0.0393,0.406,4.13e-05,0.0758,0.158,185.01,anyone who knows what love is (will understand),irma thomas,0
0.608,0.567,-11.297,0.0445,0.819,0.0,0.344,0.861,144.034,viva las vegas,elvis presley,0
0.659,0.505,-10.453,0.0431,0.187,0.0,0.229,0.871,76.205,everybody needs somebody to love,solomon burke,0
0.525,0.852,-9.519,0.222,0.731,5.11e-05,0.218,0.884,157.404,you never can tell,chuck berry,0
0.316,0.484,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363,house of the rising sun,the animals,0
0.296,0.546,-8.048,0.032,0.000373,0.0871,0.0937,0.309,117.345,house of the rising sun,the animals,0
0.636,0.684,-9.302,0.057,0.52,0.0015,0.534,0.881,132.509,come a little bit closer,jay & the americans,0
